filename,start_points,connection_points,branch_points
10__M_Left_index_finger.png,272,70,0
10__M_Left_index_finger.png,268,72,0
10__M_Left_index_finger.png,258,80,0
10__M_Left_index_finger.png,202,130,2
10__M_Left_index_finger.png,46,146,70
10__M_Left_index_finger.png,217,101,10
10__M_Left_index_finger.png,18,150,83
10__M_Left_index_finger.png,1,77,105
10__M_Left_index_finger.png,2,89,70
10__M_Left_index_finger.png,6,69,73
10__M_Left_index_finger.png,113,139,52
10__M_Left_index_finger.png,6,96,116
10__M_Left_index_finger.png,0,56,101
10__M_Left_index_finger.png,5,52,58
10__M_Left_index_finger.png,6,37,34
10__M_Left_index_finger.png,138,149,25
10__M_Left_index_finger.png,26,129,91
10__M_Left_index_finger.png,2,54,109
10__M_Left_index_finger.png,4,48,62
10__M_Left_index_finger.png,2,55,45
10__M_Left_index_finger.png,220,104,9
10__M_Left_index_finger.png,14,132,113
10__M_Left_index_finger.png,0,49,123
10__M_Left_index_finger.png,1,58,80
10__M_Left_index_finger.png,1,64,69
10__M_Left_little_finger.png,272,70,0
10__M_Left_little_finger.png,272,70,0
10__M_Left_little_finger.png,272,70,0
10__M_Left_little_finger.png,270,70,1
10__M_Left_little_finger.png,155,123,40
10__M_Left_little_finger.png,272,70,0
10__M_Left_little_finger.png,272,70,0
10__M_Left_little_finger.png,239,71,18
10__M_Left_little_finger.png,72,73,54
10__M_Left_little_finger.png,24,87,54
10__M_Left_little_finger.png,269,70,0
10__M_Left_little_finger.png,89,132,56
10__M_Left_little_finger.png,6,39,129
10__M_Left_little_finger.png,9,38,43
10__M_Left_little_finger.png,7,35,40
10__M_Left_little_finger.png,216,110,7
10__M_Left_little_finger.png,17,140,80
10__M_Left_little_finger.png,3,58,87
10__M_Left_little_finger.png,2,49,63
10__M_Left_little_finger.png,3,88,47
10__M_Left_little_finger.png,265,70,5
10__M_Left_little_finger.png,26,145,79
10__M_Left_little_finger.png,3,61,97
10__M_Left_little_finger.png,2,46,73
10__M_Left_little_finger.png,2,57,65
10__M_Left_middle_finger.png,266,70,3
10__M_Left_middle_finger.png,67,142,49
10__M_Left_middle_finger.png,0,60,105
10__M_Left_middle_finger.png,1,44,89
10__M_Left_middle_finger.png,8,46,34
10__M_Left_middle_finger.png,123,136,35
10__M_Left_middle_finger.png,10,121,83
10__M_Left_middle_finger.png,2,36,85
10__M_Left_middle_finger.png,12,23,30
10__M_Left_middle_finger.png,6,36,27
10__M_Left_middle_finger.png,97,159,32
10__M_Left_middle_finger.png,7,102,83
10__M_Left_middle_finger.png,1,54,82
10__M_Left_middle_finger.png,1,43,50
10__M_Left_middle_finger.png,4,30,24
10__M_Left_middle_finger.png,150,112,44
10__M_Left_middle_finger.png,0,101,105
10__M_Left_middle_finger.png,0,39,104
10__M_Left_middle_finger.png,3,49,60
10__M_Left_middle_finger.png,3,40,38
10__M_Left_middle_finger.png,260,74,3
10__M_Left_middle_finger.png,50,162,53
10__M_Left_middle_finger.png,2,100,88
10__M_Left_middle_finger.png,0,67,70
10__M_Left_middle_finger.png,4,57,54
10__M_Left_ring_finger.png,272,70,0
10__M_Left_ring_finger.png,198,93,23
10__M_Left_ring_finger.png,67,102,48
10__M_Left_ring_finger.png,37,99,77
10__M_Left_ring_finger.png,20,120,80
10__M_Left_ring_finger.png,200,112,15
10__M_Left_ring_finger.png,7,125,70
10__M_Left_ring_finger.png,3,50,74
10__M_Left_ring_finger.png,10,34,43
10__M_Left_ring_finger.png,3,46,55
10__M_Left_ring_finger.png,106,140,46
10__M_Left_ring_finger.png,0,81,96
10__M_Left_ring_finger.png,7,37,34
10__M_Left_ring_finger.png,6,32,29
10__M_Left_ring_finger.png,3,48,40
10__M_Left_ring_finger.png,126,120,48
10__M_Left_ring_finger.png,2,82,100
10__M_Left_ring_finger.png,4,49,43
10__M_Left_ring_finger.png,4,32,40
10__M_Left_ring_finger.png,3,52,51
10__M_Left_ring_finger.png,223,94,10
10__M_Left_ring_finger.png,2,94,113
10__M_Left_ring_finger.png,2,41,103
10__M_Left_ring_finger.png,1,59,74
10__M_Left_ring_finger.png,13,106,99
10__M_Left_thumb_finger.png,266,70,2
10__M_Left_thumb_finger.png,103,156,13
10__M_Left_thumb_finger.png,43,151,41
10__M_Left_thumb_finger.png,30,150,56
10__M_Left_thumb_finger.png,7,77,81
10__M_Left_thumb_finger.png,164,118,27
10__M_Left_thumb_finger.png,19,174,36
10__M_Left_thumb_finger.png,2,137,49
10__M_Left_thumb_finger.png,1,115,65
10__M_Left_thumb_finger.png,1,57,74
10__M_Left_thumb_finger.png,98,126,55
10__M_Left_thumb_finger.png,3,155,64
10__M_Left_thumb_finger.png,0,114,75
10__M_Left_thumb_finger.png,9,95,72
10__M_Left_thumb_finger.png,1,49,63
10__M_Left_thumb_finger.png,122,147,38
10__M_Left_thumb_finger.png,20,158,65
