filename,start_points,connection_points,branch_points
10__M_Left_index_finger.png,169,56,0
10__M_Left_index_finger.png,169,56,0
10__M_Left_index_finger.png,169,56,0
10__M_Left_index_finger.png,160,64,0
10__M_Left_index_finger.png,114,96,8
10__M_Left_index_finger.png,49,98,37
10__M_Left_index_finger.png,156,55,7
10__M_Left_index_finger.png,64,98,33
10__M_Left_index_finger.png,16,96,49
10__M_Left_index_finger.png,17,67,60
10__M_Left_index_finger.png,21,79,36
10__M_Left_index_finger.png,10,61,51
10__M_Left_index_finger.png,121,75,18
10__M_Left_index_finger.png,10,83,70
10__M_Left_index_finger.png,0,62,64
10__M_Left_index_finger.png,0,35,55
10__M_Left_index_finger.png,2,47,32
10__M_Left_index_finger.png,4,36,29
10__M_Left_index_finger.png,89,94,23
10__M_Left_index_finger.png,18,92,62
10__M_Left_index_finger.png,0,51,76
10__M_Left_index_finger.png,3,32,54
10__M_Left_index_finger.png,4,27,37
10__M_Left_index_finger.png,3,27,24
10__M_Left_index_finger.png,108,95,9
10__M_Left_index_finger.png,18,108,59
10__M_Left_index_finger.png,1,55,81
10__M_Left_index_finger.png,1,53,52
10__M_Left_index_finger.png,2,35,40
10__M_Left_index_finger.png,1,33,35
10__M_Left_index_finger.png,152,57,12
10__M_Left_index_finger.png,43,114,37
10__M_Left_index_finger.png,0,41,96
10__M_Left_index_finger.png,0,26,76
10__M_Left_index_finger.png,2,41,48
10__M_Left_index_finger.png,0,46,48
10__M_Left_little_finger.png,169,56,0
10__M_Left_little_finger.png,169,56,0
10__M_Left_little_finger.png,169,56,0
10__M_Left_little_finger.png,169,56,0
10__M_Left_little_finger.png,169,56,0
10__M_Left_little_finger.png,115,81,18
10__M_Left_little_finger.png,169,56,0
10__M_Left_little_finger.png,169,56,0
10__M_Left_little_finger.png,169,56,0
10__M_Left_little_finger.png,159,56,5
10__M_Left_little_finger.png,91,59,21
10__M_Left_little_finger.png,42,64,43
10__M_Left_little_finger.png,169,56,0
10__M_Left_little_finger.png,165,58,0
10__M_Left_little_finger.png,87,66,43
10__M_Left_little_finger.png,15,40,76
10__M_Left_little_finger.png,3,25,30
10__M_Left_little_finger.png,6,26,19
10__M_Left_little_finger.png,169,56,0
10__M_Left_little_finger.png,27,108,41
10__M_Left_little_finger.png,0,47,76
10__M_Left_little_finger.png,6,27,56
10__M_Left_little_finger.png,4,26,39
10__M_Left_little_finger.png,3,27,23
10__M_Left_little_finger.png,163,58,3
10__M_Left_little_finger.png,20,100,58
10__M_Left_little_finger.png,2,69,62
10__M_Left_little_finger.png,3,31,48
10__M_Left_little_finger.png,2,40,34
10__M_Left_little_finger.png,2,52,40
10__M_Left_little_finger.png,169,56,0
10__M_Left_little_finger.png,64,97,35
10__M_Left_little_finger.png,0,71,53
10__M_Left_little_finger.png,2,42,54
10__M_Left_little_finger.png,2,24,52
10__M_Left_little_finger.png,3,42,41
10__M_Left_middle_finger.png,169,56,0
10__M_Left_middle_finger.png,98,82,21
10__M_Left_middle_finger.png,9,81,47
10__M_Left_middle_finger.png,0,28,71
10__M_Left_middle_finger.png,1,34,56
10__M_Left_middle_finger.png,5,24,27
10__M_Left_middle_finger.png,125,74,12
